Date,Actual,Prediction
04/23/2017,13145,16083.53641
04/24/2017,20036,16042.2687
04/25/2017,21896,16021.27105
04/26/2017,24499,15994.34779
04/27/2017,26879,15964.03167
04/28/2017,24950,15937.79192
04/29/2017,15490,15897.97338
04/30/2017,11900,15867.72561
05/01/2017,22300,15849.53784
05/02/2017,23727,15798.26138
05/03/2017,23624,15751.07583
05/04/2017,25752,15735.65596
05/05/2017,26664,15706.59537
05/06/2017,14920,15019.87736
05/07/2017,12640,15657.45589
05/08/2017,18609,14950.86019
05/09/2017,22918,15597.63669
05/10/2017,23989,15569.18368
05/11/2017,22758,15540.18394
05/12/2017,21086,15510.17257
05/13/2017,11225,15456.28176
05/14/2017,10443,15436.07992
05/15/2017,18008,15421.80123
05/16/2017,19063,15389.87263
05/17/2017,20013,15359.31518
05/18/2017,22134,15328.32203
05/19/2017,24662,15301.74197
05/20/2017,12973,14614.13672
05/21/2017,12511,14535.094
05/22/2017,19269,14552.92247
05/23/2017,20467,14533.83277
05/24/2017,21440,15152.32634
05/25/2017,19974,15120.21002
05/26/2017,17232,15087.95275
05/27/2017,9578,14599.10764
05/28/2017,8451,14577.18941
05/29/2017,6995,14857.83926
05/30/2017,15405,14973.00473
05/31/2017,17451,14940.79856
06/01/2017,21868,14909.08437
06/02/2017,22092,14251.28993
06/03/2017,14347,14205.56449
06/04/2017,14227,14184.30488
06/05/2017,20042,14160.77894
06/06/2017,21331,14756.31651
06/07/2017,19870,14730.29168
06/08/2017,21063,14698.6609
06/09/2017,20568,14628.6327
06/10/2017,14052,14501.15599
06/11/2017,14889,14598.67432
06/12/2017,20824,14584.63667
06/13/2017,20885,14545.94743
06/14/2017,22185,14517.96937
06/15/2017,22283,14483.39835
06/16/2017,19174,14450.49006
06/17/2017,11417,14407.23521
06/18/2017,11030,14388.36118
06/19/2017,18740,14358.09866
06/20/2017,19769,14335.12146
06/21/2017,20318,14298.97271
06/22/2017,21436,14274.92876
06/23/2017,20559,14228.40865
06/24/2017,13731,14203.14204
06/25/2017,12212,14166.23463
06/26/2017,17540,14150.08216
06/27/2017,17848,14107.83059
06/28/2017,19810,14088.74153
06/29/2017,19490,14057.21008
06/30/2017,17401,14031.28144
07/01/2017,11723,14002.32838
07/02/2017,10399,13965.56297
07/03/2017,10129,13934.12912
07/04/2017,7745,13888.54539
07/05/2017,13363,13873.49562
07/06/2017,15218,13844.29676
07/07/2017,16333,13810.65189
07/08/2017,10444,13773.37072
07/09/2017,9843,13748.30182
07/10/2017,17070,13712.04637
07/11/2017,17884,13684.32352
07/12/2017,19932,13659.47266
07/13/2017,19991,13632.04391
07/14/2017,19418,13581.57799
07/15/2017,11479,13375.53577
07/16/2017,10891,13513.24343
07/17/2017,15851,13499.71015
07/18/2017,17696,13467.82641
07/19/2017,19119,13458.46417
07/20/2017,20311,13412.4713
07/21/2017,19175,13382.34126
07/22/2017,11369,13341.30665
07/23/2017,10203,13299.91156
07/24/2017,16576,13274.43614
07/25/2017,17522,13241.0993
07/26/2017,19180,13240.83557
07/27/2017,19563,13214.06114
07/28/2017,17567,13180.65025
07/29/2017,10218,13142.31668
07/30/2017,8958,13100.621
07/31/2017,14281,13076.21746
